Community,Total Active Associates Today,Active Associates Covid Positive Today,% of Active Associates Covid Positive Today,Employees who Tested Positive for Covid Yesterday,Total Residents In House Today,Total In House Residents Covid Positive Today,% of In House Residents Covid Positive Today,Total Associates and In House Residents Covid Positive Today,Total # Residents Recovered from Covid Positive Today,All In House Residents that Passed Away from Covid Yesterday,Cumulative In-House and Hospital Covid Related Resident Deaths,New In house Residents Who Tested Positive for Covid Yesterday,New In house Residents Who Tested Positive for Covid In Last 14 Days,Total % Associates and In House Residents Covid Positive Today
University,159,1,0.63%,0,129,0,0.00%,1,110,0,18,0,0,0.35%
Solarbron Terrace,98,0,0.00%,0,92,0,0.00%,0,72,0,10,0,0,0.00%
Solarbron Pointe,37,0,0.00%,0,75,0,0.00%,0,0,0,0,0,0,0.00%
Reserve,31,0,0.00%,0,153,0,0.00%,0,1,0,0,0,0,0.00%
Rawlins,124,0,0.00%,0,114,0,0.00%,0,78,0,9,0,0,0.00%
Paoli,90,1,1.11%,0,83,0,0.00%,1,67,0,19,0,0,0.58%
Morristown,119,0,0.00%,0,107,0,0.00%,0,39,0,11,0,0,0.00%
Lincoln,81,0,0.00%,0,95,0,0.00%,0,82,0,6,0,0,0.00%
LifeSpan,340,0,0.00%,0,,0,NaN,0,0,0,,,,0.00%
Harbour,139,0,0.00%,0,139,0,0.00%,0,50,0,8,0,0,0.00%
Hamilton,135,0,0.00%,0,121,0,0.00%,0,59,0,23,0,0,0.00%
Greenwood,90,0,0.00%,0,76,0,0.00%,0,60,0,11,0,0,0.00%
Cumberland,144,0,0.00%,0,161,0,0.00%,0,66,0,17,0,0,0.00%
Countryside,78,0,0.00%,0,60,0,0.00%,0,56,0,16,0,0,0.00%
Copper,127,0,0.00%,0,114,2,1.75%,2,39,0,12,0,2,0.83%
Cedar,215,1,0.47%,0,210,0,0.00%,1,48,0,6,0,0,0.24%
Carmel,116,0,0.00%,0,95,0,0.00%,0,32,0,17,0,0,0.00%
Brown,95,0,0.00%,0,80,0,0.00%,0,77,0,23,0,0,0.00%
Brookside,85,0,0.00%,0,53,0,0.00%,0,4,0,1,0,0,0.00%
Bell Senior,85,0,0.00%,0,172,0,0.00%,0,3,0,2,0,0,0.00%
Bell,94,0,0.00%,0,71,0,0.00%,0,50,0,10,0,0,0.00%
Aspen,137,2,1.46%,0,152,0,0.00%,2,11,0,3,0,0,0.69%
Arbor,132,2,1.52%,0,109,0,0.00%,2,56,0,15,0,0,0.83%
Altenheim,113,0,0.00%,0,126,0,0.00%,0,39,0,7,0,0,0.00%
